pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION,0.002053413700357669,0.022105161453691607,0.4317076958033464,0.4797785184765923,1.4661885689305394,85,
GOBP_ACTIN_FILAMENT_ORGANIZATION,0.002682372246341124,0.024852252151209703,0.4317076958033464,0.38125104430200535,1.2444894962277893,329,
GOBP_ACTION_POTENTIAL,9.113052147206053e-4,0.014612597860275751,0.47727081536286214,0.48952193267206234,1.493578918345309,81,
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY,0.007250257687113127,0.046126873953096836,0.40701791892395395,0.4493920036243133,1.3769035106723324,87,
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.0022753986584725166,0.023452513224560195,0.4317076958033464,0.3989603275052547,1.2893907791659704,247,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,8.546691916766823e-8,1.4490916144878149e-4,0.7049757151672383,0.4494077338834374,1.4665429485721775,328,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,2.3596715855255914e-5,0.0019747168993829558,0.5756102610711286,0.43614666802395285,1.4097507369175826,243,
GOBP_AEROBIC_RESPIRATION,0.0021274086235754767,0.022448711709184294,0.4317076958033464,0.42894186967218345,1.3547278435837629,146,
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,6.640188314573449e-4,0.01223743400799922,0.47727081536286214,0.4777004777405143,1.4750513697531091,95,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.006878452947885397,0.044259646956886875,0.40701791892395395,0.4618105002575047,1.390382562969879,69,
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION,0.004503408248527189,0.03363669024395528,0.40701791892395395,0.5550566980729473,1.5902727160033967,36,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,8.291281479950309e-5,0.003699438881383092,0.5384340963099162,0.41152304253179484,1.3408752589210635,309,
GOBP_AMIDE_TRANSPORT,0.00412710749544871,0.03173474266908521,0.40701791892395395,0.4139447643037128,1.3151338747404688,163,
GOBP_AMINE_TRANSPORT,9.532135643806941e-5,0.004040433996018667,0.5384340963099162,0.6231362545359546,1.7720610078264705,34,
GOBP_AMINO_ACID_TRANSPORT,0.0011137009512065471,0.015833140611184168,0.45505986738722953,0.4825985188589891,1.4715049995641283,80,
GOBP_AMINO_SUGAR_METABOLIC_PROCESS,7.662960853695683e-4,0.01325770421167452,0.47727081536286214,0.6090658565302176,1.694306532208421,28,
GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS,3.167073717635276e-4,0.007839085384307462,0.49849310876659025,0.43495320075075605,1.3885832190151448,185,
GOBP_ANION_TRANSPORT,0.0031263445621927542,0.027140756636332544,0.4317076958033464,0.38918684171640183,1.2618109735368588,272,
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,0.002349393758282106,0.023730947179785952,0.4317076958033464,0.4331474892900388,1.35368590209665,124,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,1.5498553872336148e-5,0.0016423623806591213,0.5756102610711286,0.39812166558658413,1.3112287162743526,457,
GOBP_ATP_METABOLIC_PROCESS,0.002867360597654888,0.025859627092148205,0.4317076958033464,0.4048707302290895,1.2997645927216566,207,
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,7.247635925957757e-4,0.012927167055073855,0.47727081536286214,0.6376130169348562,1.7490905588104642,24,
GOBP_BEHAVIOR,1.2129988799053178e-4,0.0045703102241765915,0.5384340963099162,0.4088331156477766,1.33211060655823,309,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,9.480305305988396e-4,0.014612597860275751,0.47727081536286214,0.43764138267300906,1.3801009970219682,142,
