pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS,1.736284566255353e-97,1.0438542812327183e-93,3.1043462314322396,207,246,
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,2.5790657380835785e-93,7.752671608679237e-90,3.0304332259219477,207,252,
GOBP_PEPTIDE_METABOLIC_PROCESS,1.3536836119754408e-89,2.7127819583987833e-86,2.9429298436932023,209,262,
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS,3.5741689495200865e-83,5.37197593112869e-80,2.8243502529216817,209,273,
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS,1.3459700202750346e-73,1.6183943523787018e-70,2.615770194717563,212,299,
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,1.984718047600402e-70,1.988687483695603e-67,2.5217474064909107,216,316,
GOBP_CYTOPLASMIC_TRANSLATION,2.2412402570302595e-56,1.9249052036094172e-53,3.614693298903825,97,99,
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,1.944329975603511e-47,1.4611639766660385e-44,3.2241949411343485,104,119,
GOBP_RIBOSOME_BIOGENESIS,4.606007931195919e-47,3.076813298038874e-44,3.36996336996337,95,104,
GOBP_RRNA_METABOLIC_PROCESS,2.944297392505734e-32,1.7701115923744475e-29,3.4218880534670006,64,69,
GOBP_NCRNA_PROCESSING,2.0386017044265366e-30,1.1141884951829398e-27,3.3254968406932823,64,71,
GOBP_NCRNA_METABOLIC_PROCESS,1.058488006718729e-28,5.303024913660832e-26,3.104346231432239,69,82,
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,6.530167671817576e-28,3.0199513879205587e-25,3.615438596491228,49,50,
GOBP_RNA_PROCESSING,3.903106272254863e-27,1.676105350628303e-24,2.802390591864276,79,104,
GOBP_RIBOSOME_ASSEMBLY,1.757561761874172e-18,7.044307541591682e-16,3.4898055950687525,35,37,
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,4.60911131227288e-18,1.7318735755865347e-15,3.405436668594563,36,39,
