"pathway","pval","padj","log2err","ES","NES","size"
"GOBP_CELL_SUBSTRATE_ADHESION",5.21560347020417e-11,1.82859057665358e-07,0.851339057116899,0.561540388904899,1.43379137782777,285
"GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION",2.28612867126312e-09,4.00758356072425e-06,0.774939030136436,0.504664998479894,1.30407681748121,500
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",3.56663996771853e-09,4.16821324227373e-06,0.774939030136436,0.572346871987217,1.44898043342835,207
"GOBP_CELL_MATRIX_ADHESION",7.8142996014369e-09,6.84923360065944e-06,0.747739663149885,0.581686174919838,1.46607827611168,186
"GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION",1.62249629943909e-08,1.13769440516669e-05,0.73376198835648,0.512065707082384,1.31876232988153,413
"GOBP_RESPONSE_TO_WOUNDING",7.81262986013565e-08,4.5651800482726e-05,0.704975715167238,0.509467962698417,1.30956232595646,382
"GOBP_CELL_JUNCTION_ORGANIZATION",2.60529116668988e-07,0.000108091436140794,0.674962860011025,0.49497235936811,1.27786944144894,463
"GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION",2.30876091311613e-07,0.000108091436140794,0.690132458796796,0.597226504248774,1.47569045597321,119
"GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION",2.77473737954121e-07,0.000108091436140794,0.674962860011025,0.528400119063882,1.34357643072668,259
"GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION",3.24071540977458e-07,0.000113619482266697,0.674962860011025,0.515057516073694,1.31874245816242,323
